station,valid,tmpc,dwpc,relh,drct,sped,mslp,p01m
CID,2017-09-01 00:52,17.22,12.22,72.42,70.00,10.35,1020.10,0.00
CID,2017-09-01 01:23,16.67,12.22,74.75,70.00,10.35,,0.00
CID,2017-09-01 01:52,16.11,12.22,77.72,60.00,10.35,1020.40,0.00
CID,2017-09-01 02:52,15.00,12.22,83.46,50.00,8.05,1020.70,0.00
CID,2017-09-01 03:39,15.00,11.67,80.75,60.00,9.20,,0.00
CID,2017-09-01 03:52,14.44,11.67,84.00,60.00,8.05,1021.00,0.00
CID,2017-09-01 04:52,13.33,11.67,90.29,90.00,8.05,1021.10,0.00
CID,2017-09-01 05:03,12.22,11.11,92.92,80.00,8.05,,0.00
CID,2017-09-01 05:15,12.78,11.11,89.59,80.00,8.05,,0.00
CID,2017-09-01 05:52,12.22,11.11,92.92,70.00,6.90,1021.30,0.00
CID,2017-09-01 06:13,11.67,11.11,96.03,70.00,6.90,,0.00
CID,2017-09-01 06:22,11.67,11.11,96.03,60.00,5.75,,0.00
CID,2017-09-01 06:52,11.11,10.56,96.73,80.00,6.90,1021.70,0.00
CID,2017-09-01 07:52,11.11,10.00,92.86,60.00,6.90,1021.50,0.00
CID,2017-09-01 08:52,11.11,10.00,92.86,60.00,9.20,1021.00,0.00
CID,2017-09-01 09:52,11.11,10.00,92.86,40.00,6.90,1020.90,0.00
CID,2017-09-01 10:52,11.11,10.00,92.86,40.00,5.75,1021.20,0.00
CID,2017-09-01 11:52,10.56,10.00,96.00,50.00,4.60,1021.60,0.00
CID,2017-09-01 12:52,11.11,10.56,96.73,90.00,8.05,1021.90,0.00
CID,2017-09-01 13:52,13.33,11.67,90.29,120.00,9.20,1021.70,0.00
CID,2017-09-01 14:52,16.67,12.78,77.53,130.00,11.50,1022.20,0.00
CID,2017-09-01 15:52,18.33,11.11,62.96,110.00,11.50,1022.00,0.00
CID,2017-09-01 16:52,18.89,10.56,58.62,120.00,10.35,1021.90,0.00
CID,2017-09-01 17:52,20.56,11.11,54.45,100.00,9.20,1021.00,0.00
