hour,alpha_open_fall,err_open_fall,alpha_complex_fall,err_complex_fall,alpha_open_winter,err_open_winter,alpha_complex_winter,err_complex_winter,alpha_open_spring,err_open_spring,alpha_complex_spring,err_complex_spring,alpha_open_summer,err_open_summer,alpha_complex_summer,err_complex_summer
0,0.387800,0.179290,0.311574,0.155233,0.295899,0.156686,0.266187,0.121979,0.420931,0.161662,0.330191,0.154074,0.434904,0.132984,0.409018,0.136859
1,0.342078,0.147647,0.300488,0.078523,0.294493,0.168173,0.261498,0.108249,0.394637,0.177727,0.350863,0.206923,0.444939,0.182026,0.392691,0.086993
2,0.433491,0.197101,0.275325,0.125206,0.301765,0.269364,0.224194,0.104090,0.427020,0.166810,0.392849,0.159678,0.427689,0.236882,0.414859,0.103449
3,0.275538,0.149255,0.237865,0.057392,0.307167,0.222679,0.205741,0.090071,0.343632,0.195530,0.385646,0.183153,0.427088,0.165645,0.395255,0.111786
4,0.141269,0.080949,0.219677,0.058002,0.304054,0.216881,0.187918,0.124957,0.365039,0.155790,0.330125,0.133459,0.399269,0.160330,0.360815,0.107205
5,0.114774,0.068296,0.184381,0.055745,0.274196,0.172194,0.179589,0.112963,0.355770,0.208805,0.296986,0.105538,0.416834,0.138328,0.367086,0.101027
6,0.103778,0.052733,0.192199,0.045294,0.236600,0.176927,0.192491,0.136017,0.386640,0.210736,0.272681,0.148585,0.405558,0.146052,0.358918,0.169054
7,0.111108,0.060042,0.197748,0.038761,0.212033,0.169899,0.194141,0.090648,0.301574,0.222028,0.269819,0.132868,0.321040,0.133071,0.293581,0.117634
8,0.106468,0.046698,0.215564,0.037481,0.219288,0.115374,0.185923,0.085072,0.167674,0.158656,0.221703,0.073105,0.213153,0.112985,0.196758,0.064968
9,0.107530,0.051240,0.213700,0.052589,0.176844,0.104615,0.187083,0.056285,0.116328,0.111520,0.152724,0.056729,0.109580,0.078084,0.156604,0.065604
10,0.124588,0.058384,0.219866,0.037375,0.186151,0.116611,0.201459,0.058370,0.107902,0.076328,0.143835,0.053391,0.110844,0.089622,0.162272,0.082697
11,0.172288,0.083421,0.246740,0.065224,0.156654,0.120264,0.221211,0.076613,0.098721,0.074921,0.154250,0.066270,0.123038,0.072459,0.182717,0.077007
12,0.210199,0.083183,0.272834,0.095241,0.207897,0.150102,0.222448,0.120396,0.099449,0.099287,0.149834,0.096367,0.115536,0.058078,0.175570,0.071216
13,0.258241,0.105065,0.318678,0.119357,0.177946,0.119728,0.220760,0.123416,0.099019,0.079376,0.169427,0.083795,0.128367,0.061061,0.178453,0.075594
14,0.278292,0.141028,0.333627,0.120251,0.171113,0.134593,0.224423,0.121452,0.118039,0.076603,0.164209,0.075257,0.132178,0.086166,0.198531,0.057990
15,0.283052,0.176023,0.309603,0.113517,0.156199,0.174882,0.222300,0.108412,0.122940,0.070476,0.163058,0.065743,0.131454,0.104028,0.204957,0.063050
16,0.400082,0.182729,0.299794,0.201441,0.174051,0.135579,0.220360,0.076037,0.131453,0.070472,0.170825,0.079305,0.132091,0.066562,0.190097,0.106518
17,0.377946,0.203330,0.323749,0.120400,0.157627,0.148312,0.241784,0.086080,0.154951,0.069584,0.184173,0.041105,0.142410,0.119301,0.207749,0.049883
18,0.351914,0.174514,0.337781,0.124789,0.286116,0.158361,0.270138,0.113050,0.204555,0.084498,0.209114,0.073582,0.217014,0.072908,0.217702,0.051215
19,0.338538,0.198425,0.346351,0.110604,0.267987,0.180297,0.288342,0.111174,0.262874,0.107849,0.246403,0.060754,0.289814,0.127733,0.254445,0.086014
20,0.384359,0.208945,0.364195,0.124879,0.288170,0.166857,0.263937,0.113703,0.328311,0.118118,0.256554,0.062177,0.345615,0.119246,0.312040,0.099586
21,0.340810,0.162907,0.365194,0.192034,0.238205,0.172280,0.267167,0.100177,0.354828,0.128795,0.292684,0.080530,0.405351,0.147101,0.395229,0.202735
22,0.382651,0.200400,0.329579,0.080395,0.299195,0.196904,0.260582,0.089190,0.395787,0.166224,0.295014,0.114225,0.396388,0.121371,0.404079,0.279421
23,0.387232,0.256781,0.284228,0.211286,0.306532,0.159088,0.269096,0.103247,0.411583,0.147502,0.313557,0.117958,0.403542,0.125331,0.422438,0.283337
